Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Junkrat,DEFENSE,4.44,47.36,1.87,11.82,PSN,Silver,30:02.1
Zenyatta,SUPPORT,3.83,49.58,2.25,8.23,PSN,Silver,30:02.1
Reaper,OFFENSE,3.6,47.64,2.35,16.69,PSN,Silver,30:02.1
Ana,SUPPORT,3.57,43.55,2.62,7.12,PSN,Silver,30:02.1
Zarya,TANK,3.48,45.81,2.33,6.89,PSN,Silver,30:02.1
Brigitte,SUPPORT,2.58,50.65,2.55,10.4,PSN,Silver,30:02.1
Symmetra,SUPPORT,2.58,55.63,3.49,9.94,PSN,Silver,30:02.1
Soldier: 76,OFFENSE,2.31,46.22,1.27,11.17,PSN,Silver,30:02.1
Bastion,DEFENSE,2.17,48.85,2.78,15.03,PSN,Silver,30:02.1
Wrecking Ball,TANK,2.12,47.14,1.95,2.27,PSN,Silver,30:02.1
Hanzo,DEFENSE,2.12,44.98,1.71,11.53,PSN,Silver,30:02.1
Roadhog,TANK,2.11,45.83,1.56,7.58,PSN,Silver,30:02.1
Ashe,OFFENSE,2.05,48.48,2.53,6.49,PSN,Silver,30:02.1
Widowmaker,DEFENSE,1.83,40.51,1.13,6.99,PSN,Silver,30:02.1
Torbjorn,DEFENSE,1.75,51.28,3.07,9.41,PSN,Silver,30:02.1
Genji,OFFENSE,1.74,44.23,1.59,7.16,PSN,Silver,30:02.1
Mei,DEFENSE,1.63,47.08,2.12,9.22,PSN,Silver,30:02.1
McCree,OFFENSE,1.63,44.03,2.12,10.07,PSN,Silver,30:02.1
Sombra,OFFENSE,1.53,37,1.69,10.77,PSN,Silver,30:02.1
Pharah,OFFENSE,1.44,45.72,1.8,7.49,PSN,Silver,30:02.1
Tracer,OFFENSE,1.34,42.88,1.16,7.7,PSN,Silver,30:02.1
Winston,TANK,1.24,46.16,3.63,3.93,PSN,Silver,30:02.1
Doomfist,OFFENSE,0.61,42.17,0.85,7.29,PSN,Silver,30:02.1
Moira,SUPPORT,10.89,48.16,2.46,8.43,PSN,Gold,30:02.1
Moira,SUPPORT,9.52,49.1,2.66,9.17,PSN,Gold,30:02.1
Lucio,SUPPORT,7.71,50.85,2.25,11.52,PSN,Gold,30:02.1
D.Va,TANK,7.49,50.7,2.25,8.22,PSN,Gold,30:02.1
Mercy,SUPPORT,7.36,47.77,2.76,1.4,PSN,Gold,30:02.1
Zarya,TANK,4.86,47.57,2.71,8.57,PSN,Gold,30:02.1
Reaper,OFFENSE,4.3,48.14,2.07,16.78,PSN,Gold,30:02.1
Ana,SUPPORT,4.3,44.24,2.51,8.39,PSN,Gold,30:02.1
Junkrat,DEFENSE,3.94,48.74,2.82,11.47,PSN,Gold,30:02.1
Zenyatta,SUPPORT,3.93,50.53,2.4,8.54,PSN,Gold,30:02.1
Orisa,TANK,3.73,52.55,2.58,8.89,PSN,Gold,30:02.1
Brigitte,SUPPORT,2.65,54.39,1.96,12.81,PSN,Gold,30:02.1
Hanzo,DEFENSE,2.45,45.91,2.37,12.15,PSN,Gold,30:02.1
Genji,OFFENSE,2.32,46.25,1.92,8.36,PSN,Gold,30:02.1
McCree,OFFENSE,2.31,45.89,1.51,9.87,PSN,Gold,30:02.1
